,brand,Reg. No.,Engine,Brakes,Tyres,clutch,Body,price
64,1,XZ-74L-0064,7.2,2.2,6.8,8.2,5.8,33154
65,1,XX-75M-0065,8.2,2.6,5.2,1.6,7.4,25592
66,1,XY-76N-0066,6,8.2,1,8.4,6.6,29113
67,1,XZ-77O-0067,7.6,6.8,9.2,9.2,4.4,33015
68,1,XX-78P-0068,6.8,9,5,5.8,4.6,28308
69,1,XY-79Q-0069,3,10,1.2,5.2,1.6,22827
70,1,XZ-80R-0070,5.2,5.4,5,3.8,4.6,20990
71,1,XX-81S-0071,5.6,7,6.8,1,2,22044
72,1,XY-82T-0072,2.8,3.6,7.2,7.4,1.8,21295
73,1,XZ-83U-0073,9.4,2.6,9,9.8,7.8,41495
74,1,XX-84V-0074,7.2,4.8,2.4,4,3.8,19762
75,1,XY-85W-0075,9.6,3.6,7.4,3.2,7.2,33120
76,1,XZ-86X-0076,8.4,9.2,7.8,8.6,2.2,31150
77,1,XX-87Y-0077,1,1.4,8.2,7.8,5.2,23692
78,1,XY-88Z-0078,3.8,2.6,6.6,1.6,2.6,16612
79,1,XZ-89A-0079,1.2,7.6,2.4,8.4,6.2,22410
80,1,XX-90B-0080,9.8,2.2,4.2,7.8,2,22740
81,1,XY-91C-0081,9.6,8.2,3,7.4,9.6,36519
82,1,XZ-92D-0082,7,5,7.8,8.8,1.8,25858
83,1,XX-93E-0083,9,5.8,4.2,6.4,6.8,29824
84,1,XY-94F-0084,9.6,1.8,4,8.8,1.2,25979
85,1,XZ-95G-0085,4.6,8.2,7,6.6,3.2,25755
86,1,XX-96H-0086,6,6.2,8.2,8,8,39086
87,1,XY-97I-0087,7.8,5.8,3.6,7.8,3.8,31452
88,1,XZ-98J-0088,4.2,2.4,3,8,1.4,18607
89,1,XX-99K-0089,3.6,2.6,2.4,4.6,1.2,12987
90,1,XY-11A-0090,3.6,3.2,6.2,7.2,5,27150
91,1,XZ-12B-0091,1,4,8.2,6.6,5.6,21803
92,1,XX-13C-0092,4.4,3.6,4.2,1.4,8.8,21506
93,1,XY-14D-0093,9.2,4.2,9.2,5.8,2.4,29627
94,1,XZ-15E-0094,4.6,10,6.8,7.8,8,38640
95,1,XX-16F-0095,2.6,4,9.2,1.8,6.6,22806
96,1,XY-17G-0096,10,5,6.8,4.4,1.8,30310
97,1,XZ-18H-0097,5.8,8.6,6.2,4,4.8,31393
98,1,XX-19I-0098,6.2,4.8,7.6,4.8,9.4,35545
99,1,XY-20J-0099,2.2,5,8.2,5.6,4,27032
100,1,XZ-21K-0100,7.6,6.2,4.4,1.4,4.8,25234
101,1,XX-22L-0101,7.6,4.8,1,3.6,9.6,22810
102,1,XY-23M-0102,5.6,4.2,6.2,9.4,5.8,33652
103,1,XZ-24N-0103,7,2,10,5.6,5.8,31850
104,1,XX-25O-0104,5,2.6,2,5.8,3.8,16481
105,1,XY-26P-0105,6.2,8.8,8.8,2.2,5.4,29007
106,1,XZ-27Q-0106,9.4,9.8,8.2,1,2,31148
107,1,XX-28R-0107,7.4,4.8,8.4,4.2,3.6,30973
108,1,XY-29S-0108,6,10,10,6,6.4,42213
109,1,XZ-30T-0109,8.8,8.6,1.6,4,6.4,29603
110,1,XX-31U-0110,8.4,9.2,6.4,6.2,6.8,39686
111,1,XY-32V-0111,5.4,9,3.2,5.2,6.4,29086
112,1,XZ-33W-0112,4.6,8.8,8.6,2.4,9.2,31604
113,1,XX-34X-0113,3.8,6.4,6.4,6.4,5.2,29452
114,1,XY-35Y-0114,7.4,1.6,3.6,9.4,7.6,26377
115,1,XZ-36Z-0115,2.6,7.4,2.2,8,7.2,25361
116,1,XX-37A-0116,5.2,3.6,9,9.8,1.2,29897
117,1,XY-38B-0117,4.4,1.8,6,4.4,8.6,27612
118,1,XZ-39C-0118,5.2,2.8,4.6,1.4,9.8,22629
119,1,XX-40D-0119,7,1.4,5.2,2.8,1.6,16888
120,1,XY-41E-0120,4.2,1.4,7.2,4,7,23279
121,1,XZ-42F-0121,2.4,2,3.8,4.8,4,16337
122,1,XX-43G-0122,4.4,3.2,3.8,1.4,7.8,17825
123,1,XY-44H-0123,3.8,3,3.6,6.2,4.4,21655
124,1,XZ-45I-0124,4.8,10,8.6,1.4,7.4,32113
125,1,XX-46J-0125,1.2,9.4,2.8,4.4,8,26202
126,1,XY-47K-0126,4,1,7.4,1.8,4.6,16595
127,1,XZ-48L-0127,1.8,7.4,2.2,3.2,2.2,14724
128,1,XX-49M-0128,3.6,4.8,3,8.6,7.4,25033
129,1,XY-50N-0129,2.2,6.2,1.6,3.8,4.8,17992
130,1,XZ-51O-0130,4.6,5,9.2,6.4,2.4,29869
131,1,XX-52P-0131,7.6,7.2,3.2,9.4,2.2,29973
132,1,XY-53Q-0132,4.4,4,8,2.4,1.8,18511
133,1,XZ-54R-0133,8,9.6,6.6,2.6,5.2,31098
134,1,XX-55S-0134,9,8.6,8.8,4.4,7.8,38982
135,1,XY-56T-0135,3.2,4.4,2.2,3.6,8.6,22838
136,1,XZ-57U-0136,3.4,3.6,6,7.2,4.6,24510
137,1,XX-58V-0137,8,2.8,6.6,4.8,8.2,33154
138,1,XY-59W-0138,1.2,1.8,5.2,2.8,7,17957
139,1,XZ-60X-0139,2.2,4,8,8.6,2.4,24595
140,1,XX-61Y-0140,6,2.4,3.4,2.4,1.2,15728
141,1,XY-62Z-0141,9.6,8.2,5.4,2.4,6.8,33022
142,1,XZ-63A-0142,2.6,3.8,9.6,4.8,6.2,27470
143,1,XX-64B-0143,4.8,5.8,3.8,6.4,4,21906
144,1,XY-65C-0144,2.6,9.4,6.4,2.8,2.6,26035
145,1,XZ-66D-0145,7.6,6.4,1,9.6,7,28547
146,1,XX-67E-0146,2,7.8,2.4,5.2,7.2,25965
147,1,XY-68F-0147,4.6,8.4,3.8,6.8,2.6,25838
148,1,XZ-69G-0148,8,5.2,1.4,9.4,2.2,26114
149,1,XX-70H-0149,2,1,9.4,5.4,1.4,18860
150,1,XY-71I-0150,8.8,2,5.2,3.4,10,28395
151,1,XZ-72J-0151,7.6,5,6,4.6,9.2,34587
152,1,XX-73K-0152,4.8,7.6,1.8,7.2,5,26804
153,1,XY-74L-0153,9.2,4.4,1.4,7.6,9.8,28891
154,1,XZ-75M-0154,4.2,5,4.6,2,4.2,17522
155,1,XX-76N-0155,4.4,6.4,3.6,5.8,6,27143
156,1,XY-77O-0156,10,1.6,9.2,7,1.8,31767
157,1,XZ-78P-0157,3,2.4,3.8,1.2,10,19598
158,1,XX-79Q-0158,7.8,3.2,6.8,6.4,7.2,28056
159,1,XY-80R-0159,2.2,10,6.6,8.4,6.6,33820
160,1,XZ-81S-0160,5.8,4.2,6.8,1.4,9.4,24735
161,1,XX-82T-0161,7.4,9.4,6.6,1.2,1,26437
162,1,XY-83U-0162,3.6,2.2,3.2,6.4,9.8,27098
163,1,XZ-84V-0163,9.6,3.6,7.8,3.2,3.6,29626
164,1,XX-85W-0164,5.4,8.6,5.4,7.2,9.8,31322
165,1,XY-86X-0165,6.8,7.2,5.2,5.6,3.8,28583
166,1,XZ-87Y-0166,9.2,6.2,7.8,9.4,1.4,35316
167,1,XX-88Z-0167,2.6,2.8,7.4,7.8,5.4,26140
168,1,XY-89A-0168,7.8,5.8,6.4,7,6.6,29004
169,1,XZ-90B-0169,9.8,10,2.2,4,6,34429
170,1,XX-91C-0170,7.6,4,9.6,9.8,8,38509
171,1,XY-92D-0171,3,10,8.8,1.2,4.6,28867
172,1,XZ-93E-0172,8,2.2,8.6,6,4.8,28028
173,1,XX-94F-0173,3.4,1,6,8.4,1.6,18503
174,1,XY-95G-0174,8.4,9.2,1.6,1.8,6.2,29387
175,1,XZ-96H-0175,6,3,3.2,3.6,1.6,15166
176,1,XX-97I-0176,2.2,1,1.8,3.4,3.2,11503
177,1,XY-98J-0177,5.6,6.6,10,3.2,8.4,35169
178,1,XZ-99K-0178,8,5.8,9.4,4.6,8,32267
179,1,XX-11A-0179,3.2,1.6,1,6.8,3,15881
180,1,XY-12B-0180,1.8,9.2,1.4,8.8,7,28894
181,1,XZ-13C-0181,3,2.8,2.8,7,4.4,21218
182,1,XX-14D-0182,5.6,9,8.2,8.6,7.2,39538
183,1,XY-15E-0183,4,10,10,4.2,4.6,33184
184,1,XZ-16F-0184,7.8,10,1.4,2.4,3.4,25412
185,1,XX-17G-0185,1.2,6.4,9,4.6,4,23378
186,1,XY-18H-0186,9.2,4.4,8.4,1.8,5.2,31740
187,1,XZ-19I-0187,6.2,8.8,7.2,1.6,4.4,26618
188,1,XX-20J-0188,8,7.8,8,8.6,6.4,41803
189,1,XY-21K-0189,1.6,3,9.2,8.6,5,29167
190,1,XZ-22L-0190,9.8,8,1.8,6.6,9.6,35864
191,1,XX-23M-0191,8,9,2.2,6.4,2.4,28008
192,1,XY-24N-0192,3,6.4,5.2,4.6,5.8,22225
193,1,XZ-25O-0193,6.4,10,4.8,1.2,4.2,29193
194,1,XX-26P-0194,2.4,3.4,10,1.6,1.2,16959
195,1,XY-27Q-0195,4.4,5.6,6.6,2.6,4.8,21746
196,1,XZ-28R-0196,4.6,8.2,7.2,10,9.8,41878
197,1,XX-29S-0197,6,6.8,7,6.6,9.4,32213
198,1,XY-30T-0198,7,8.2,8.6,1.2,1.6,28547
199,1,XZ-31U-0199,6.4,7.2,1.2,3.6,8.4,28689
200,1,XX-32V-0200,6.6,6.8,5.4,5.8,4,26455
201,1,XY-33W-0201,5.6,5.8,8,1,4.4,23766
202,1,XZ-34X-0202,4.6,1.4,4,7,9.6,23145
203,1,XX-35Y-0203,2.8,1.4,5.8,4.6,1.4,16058
204,1,XY-36Z-0204,2.6,2.2,2.8,9.4,2.4,17223
205,1,XZ-37A-0205,1.2,3,7,3.8,6.4,23519
206,1,XX-38B-0206,8.2,4.6,5.2,4.8,9.6,33440
207,1,XY-39C-0207,4,10,6.4,2.8,3.6,23705
208,1,XZ-40D-0208,2,5,3.8,3.4,1.6,14952
209,1,XX-41E-0209,9.8,6.6,6.4,2.2,4.2,30961
210,1,XY-42F-0210,7.4,9,8.8,4.6,6.2,33937
211,1,XZ-43G-0211,6,2,8.6,8.6,1.8,23420
212,1,XX-44H-0212,2,3.8,8.2,3.6,9.8,23479
213,1,XY-45I-0213,4.4,2,9,4.6,5.4,24790
214,1,XZ-46J-0214,6.4,2,7.2,9.4,8,28129
215,1,XX-47K-0215,9.8,3.2,9.2,1.6,4.8,29484
216,1,XY-48L-0216,3.4,6.6,3.6,3.6,3.2,20174
217,1,XZ-49M-0217,5,2.6,4.2,6.4,8.8,23841
218,1,XX-50N-0218,10,1.6,9,3.4,5,30775
219,1,XY-51O-0219,2.6,3.4,10,7,7,25707
220,1,XZ-52P-0220,9.8,2.8,3,2.4,5,20412
221,1,XX-53Q-0221,9.2,2.2,2,1,2,15298
222,1,XY-54R-0222,8.4,9.8,8.6,5.8,1.6,30886
223,1,XZ-55S-0223,6.4,8.4,7.2,2.2,5.8,25527
224,1,XX-56T-0224,2.6,4,4,1.8,1.2,14069
225,1,XY-57U-0225,1.8,6.8,5,1.4,2,14628
226,1,XZ-58V-0226,8,7.2,5.2,8.2,1.8,27527
227,1,XX-59W-0227,7,1.4,6.6,6.4,3.6,24542
228,1,XY-60X-0228,3,5.8,2.6,1.6,4.6,15800
229,1,XZ-61Y-0229,10,5.6,9.2,2.4,2.6,30640
230,1,XX-62Z-0230,7.2,1.8,2.6,8.2,2,22748
231,1,XY-63A-0231,1.6,4.2,6,4.6,1.6,16796
232,1,XZ-64B-0232,8,2.8,9.4,7.6,9.8,34724
233,1,XX-65C-0233,5.4,6.4,4.4,2.2,4.6,23925
234,1,XY-66D-0234,9.2,8,9.8,3.8,2.2,35525
235,1,XZ-67E-0235,4.6,8.8,3.2,7,10,35747
236,1,XX-68F-0236,5.2,6.6,1.8,7,7.2,24831
237,1,XY-69G-0237,4.6,5,4.2,8.2,3,26365
238,1,XZ-70H-0238,4.2,6.2,8.8,5.6,1,23114
239,1,XX-71I-0239,8.6,7.4,7.2,3.4,8.2,35103
240,1,XY-72J-0240,9.8,9.6,5.2,4.2,1.8,32436
241,1,XZ-73K-0241,7.6,7.4,4.2,5,5.2,25890
242,1,XX-74L-0242,8.4,9.2,1.4,1,7.6,27898
243,1,XY-75M-0243,8.8,7.6,3.4,1.2,2.6,22057
244,1,XZ-76N-0244,7.4,7,1.2,1.8,4.2,19941
245,1,XX-77O-0245,7.8,7.2,3.4,8.4,3.4,30680
246,1,XY-78P-0246,4.4,2.8,6.8,5.8,7.6,29184
247,1,XZ-79Q-0247,3.2,7.4,3.4,3.2,2.6,18012
248,1,XX-80R-0248,6.2,5,5.8,4.2,8,30339
249,1,XY-81S-0249,8.6,4.2,3.2,9.8,2.6,28979
250,1,XZ-82T-0250,10,5.4,3.8,2.4,4.6,26475
251,1,XX-83U-0251,9.2,3.8,1,2,2.2,19827
252,1,XY-84V-0252,9.2,4.6,6,4.8,4.6,29682
253,1,XZ-85W-0253,2.8,1.6,4.8,6.2,1,17335
254,1,XX-86X-0254,6.2,7.8,7.8,6.6,4.8,32732
255,1,XY-87Y-0255,1.2,6.2,6.4,1.6,4.4,19848
256,1,XZ-88Z-0256,4.4,2.4,8.2,8.2,10,31328
257,1,XX-89A-0257,5.4,5.4,2,1,9.6,19974
258,1,XY-90B-0258,7.4,9.2,8.8,5.4,2,28805
259,1,XZ-91C-0259,6.6,3.8,1,9.2,2.8,22487
260,1,XX-92D-0260,8,9.4,4.2,4,7.2,34207
261,1,XY-93E-0261,3.2,3.2,3.2,2.2,1.6,11804
262,1,XZ-94F-0262,6,3,3.2,5.6,8.8,28779
263,1,XX-95G-0263,1.8,9.8,9.2,10,4.8,34927
264,1,XY-96H-0264,7.8,2.4,6.4,9.6,6.4,35730
265,1,XZ-97I-0265,9.2,9.2,8.8,7.6,6.8,42299
266,1,XX-98J-0266,5.2,4,4.4,7.2,8.6,26551
267,1,XY-99K-0267,4.6,5.2,7.4,5.2,8.8,32323
268,1,XZ-11A-0268,1,8.2,4,9,6.2,30905
269,1,XX-12B-0269,8.6,4.4,4.2,2.6,7.6,26619
270,1,XY-13C-0270,9.6,3.4,9.8,9.2,8,41668
271,1,XZ-14D-0271,2.8,8.2,2.6,8.6,8.2,27062
272,1,XX-15E-0272,7.4,2.2,9,1.2,6.4,22875
273,1,XY-16F-0273,6.2,3.8,3.8,6.8,9.8,26269
274,1,XZ-17G-0274,8.6,1,6.4,7.2,9,28181
275,1,XX-18H-0275,2.4,4.8,2.2,6.8,5,20081
276,1,XY-19I-0276,7.2,7.6,6.8,3.2,6.8,30301
277,1,XZ-20J-0277,4.6,9,4.8,7.6,1,29171
278,1,XX-21K-0278,1.2,1.8,2.2,7,8.8,19671
279,1,XY-22L-0279,1.8,2.2,3.2,1,5.8,12618
280,1,XZ-23M-0280,2.4,3.8,9.8,6.4,9.8,31707
281,1,XX-24N-0281,3.4,7,9.2,3.4,5,28748
282,1,XY-25O-0282,5.2,1.8,4.4,8.8,7,27045
283,1,XZ-26P-0283,4.4,7.8,2.8,9,3,23598
284,1,XX-27Q-0284,9.8,2.4,7,10,2,32688
285,1,XY-28R-0285,4,4.2,8.4,6,2.2,24562
286,1,XZ-29S-0286,9.8,5,6.8,2.8,9.6,37111
287,1,XX-30T-0287,8.6,4.6,1.8,5.4,10,30674
288,1,XY-31U-0288,8.4,7.2,8,3.2,7,32837
289,1,XZ-32V-0289,5,5.8,7,9.4,7.6,32900
290,1,XX-33W-0290,3.8,2,5.4,3.4,10,25176
291,1,XY-34X-0291,2.2,10,2,10,1.2,24006
292,1,XZ-35Y-0292,3.4,9,4.6,2.4,6.6,27131
293,1,XX-36Z-0293,9.4,9.6,4.6,1.4,5.6,26882
294,1,XY-37A-0294,1.4,4.6,9.2,7.8,2.8,24747
295,1,XZ-38B-0295,5.2,7.4,4,7.6,5.4,28046
296,1,XX-39C-0296,3.4,7.6,8.6,4.6,9,33638
297,1,XY-40D-0297,3,2,6.8,1.2,5.2,16966
298,1,XZ-41E-0298,3.2,10,7,4,6.4,29195
299,1,XX-42F-0299,4,1.4,2.2,8.2,6,20021
300,1,XY-43G-0300,2.8,7.8,5.8,1.2,3.8,22350
301,1,XZ-44H-0301,2.2,8.6,9.4,9.6,3.8,35818
302,1,XX-45I-0302,6.2,7.8,9.8,8.2,4,36227
303,1,XY-46J-0303,3.4,2.8,7,7.4,1.4,23168
304,1,XZ-47K-0304,6,6.4,5.8,4,8.4,32987
305,1,XX-48L-0305,2.2,6.2,3.2,7.4,4.8,20858
306,1,XY-49M-0306,2.4,7.4,6.4,1.2,6.6,25138
307,1,XZ-50N-0307,2.8,10,2.4,3.2,6.4,26853
308,1,XX-51O-0308,7.4,7.6,2.2,9.4,2.6,29069
309,1,XY-52P-0309,2.6,9.6,5.8,9.6,8.8,36553
310,1,XZ-53Q-0310,5.8,2.2,6,4.4,4,20888
311,1,XX-54R-0311,6.2,8.6,3,7.4,5.4,31518
312,1,XY-55S-0312,8,5.2,3.6,9,9,33150
313,1,XZ-56T-0313,4,1.4,4.4,5,8.6,22515
314,1,XX-57U-0314,5.4,5,9.8,5.6,1.4,27265
315,1,XY-58V-0315,3.8,10,9.4,3.8,4.6,31335
316,1,XZ-59W-0316,6.4,4,8.8,5.6,5.4,27500
317,1,XX-60X-0317,1.4,2.8,1,7.8,9.2,19663
318,1,XY-61Y-0318,1.4,1.4,7.4,7.8,8.8,24870
319,1,XZ-62Z-0319,4.4,6.6,4,9.2,7.8,29869
320,1,XX-63A-0320,7.8,9,9.2,5.2,2,31686
321,1,XY-64B-0321,6.8,2,9.8,3.2,2.6,25220
322,1,XZ-65C-0322,8.2,2,9.4,3.4,4.4,29184
323,1,XX-66D-0323,8.6,6,2.8,5.6,8.4,28517
324,1,XY-67E-0324,2,4.6,4.4,8.8,6.8,25267
325,1,XZ-68F-0325,8.4,6.6,3.6,4,8.2,28776
326,1,XX-69G-0326,6.4,5.2,8,5,8,32101
327,1,XY-70H-0327,4.6,5.4,2,3,9.8,22107
328,1,XZ-71I-0328,1.6,2.8,4.8,7.6,2.8,21540
329,1,XX-72J-0329,6,1.4,7,6.4,4.2,24438
330,1,XY-73K-0330,2.8,5,8.2,3.4,8.4,25565
331,1,XZ-74L-0331,10,4,8,1.6,6.4,25923
332,1,XX-75M-0332,3.8,3.6,7.4,7.4,4.4,27613
333,1,XY-76N-0333,3.8,5.6,9.4,5,5.2,28887
334,1,XZ-77O-0334,9,4,6.2,6,4.4,29298
335,1,XX-78P-0335,2.4,6,3.4,2.8,2.8,18011
336,1,XY-79Q-0336,3.6,2.4,6.6,4.4,3.6,22219
337,1,XZ-80R-0337,7.6,5.4,7.4,3.2,3.8,23874
338,1,XX-81S-0338,2.8,5,9.6,2,9.4,26986
339,1,XY-82T-0339,3.2,2.4,6.8,4.2,7,20846
340,1,XZ-83U-0340,9.8,9.6,6,2.4,7.8,32396
341,1,XX-84V-0341,8.6,5.4,7.2,1.2,4,22804
342,1,XY-85W-0342,9.6,4.4,4.4,1,5.2,21678
343,1,XZ-86X-0343,8.8,2.2,9.2,7.2,6.8,33861
344,1,XX-87Y-0344,4.6,5.6,7.2,7.2,5.4,31287
345,1,XY-88Z-0345,1,7.2,7.6,3.4,6.4,25231
346,1,XZ-89A-0346,8.2,5,1.4,4,6.6,24338
347,1,XX-90B-0347,6,2,9,2.6,1.8,18338
348,1,XY-91C-0348,9,3.6,5,1.6,5.8,22720
349,1,XZ-92D-0349,1.6,7.6,7.8,6.6,4.2,27225
350,1,XX-93E-0350,8.4,2.4,5,2.2,1,16771
351,1,XY-94F-0351,7.4,1.6,7.4,9.6,4,26013
352,1,XZ-95G-0352,8.2,4.8,9.6,3.6,3.4,26758
353,1,XX-96H-0353,4.8,3.4,6.2,7.6,5.8,29685
354,1,XY-97I-0354,9,6.4,8.4,4,8.8,38324
355,1,XZ-98J-0355,8.2,3.4,6.8,2.8,4,23476
356,1,XX-99K-0356,1.2,5,1,6,10,22024
357,1,XY-11A-0357,1.2,7.8,6,4.2,7.8,27316
358,1,XZ-12B-0358,1.4,2.8,6,5,4,16850
359,1,XX-13C-0359,7.8,4.6,1.6,3.2,7,25376
360,1,XY-14D-0360,2.4,9,1.4,4,7,23757
361,1,XZ-15E-0361,7.2,3,4,1.8,9.2,25691
362,1,XX-16F-0362,3.8,9,8,5.6,6.8,35401
363,1,XY-17G-0363,9.4,3.8,5.6,6.8,7.2,34581
364,1,XZ-18H-0364,5.8,8.2,5.6,7.4,8.4,34211
365,1,XX-19I-0365,2.6,6.4,2.4,4.2,3.6,18152
366,1,XY-20J-0366,8,8.2,2.2,1.6,1.2,20513
367,1,XZ-21K-0367,4.8,2.4,9.2,2,3.8,23419
368,1,XX-22L-0368,3.2,2.6,3,5.8,6.8,19936
369,1,XY-23M-0369,1.8,10,3,2,8,24175
370,1,XZ-24N-0370,8,8.2,3.8,3.8,4.8,29261
371,1,XX-25O-0371,4.8,5.8,7.4,8,7.2,29067
372,1,XY-26P-0372,9.2,9,1,1.2,5.4,22828
373,1,XZ-27Q-0373,9.6,3.6,8.4,4.4,7.8,35615
374,1,XX-28R-0374,6,9.4,2.4,2.6,10,31394
375,1,XY-29S-0375,2.6,8,4.2,6.2,8.8,25616
376,1,XZ-30T-0376,4.4,7.2,8.8,10,7.6,34363
377,1,XX-31U-0377,8.8,9.6,4.4,1.2,4.8,29681
378,1,XY-32V-0378,5.6,1,5,8,2,22319
379,1,XZ-33W-0379,4.2,8.8,4.6,4,4,27236
380,1,XX-34X-0380,3.8,5.2,7.2,6.6,3.6,23390
381,1,XY-35Y-0381,1.6,9.6,8.2,9.6,4,34723
382,1,XZ-36Z-0382,1.6,9,8,3.6,1.8,25123
383,1,XX-37A-0383,3.8,9.2,4,9.2,5,29131
384,1,XY-38B-0384,4.2,1,5.6,9.4,1.4,21820
385,1,XZ-39C-0385,2.6,7.2,7,3.6,8.4,31591
386,1,XX-40D-0386,1.4,8.4,9.2,8.6,8.2,36584
387,1,XY-41E-0387,2.8,3.2,7.6,4.4,6.8,26824
388,1,XZ-42F-0388,3.4,9.8,1,6.8,7.8,26986
389,1,XX-43G-0389,9.2,2.2,8.2,6.6,5.2,29158
390,1,XY-44H-0390,9.2,1.8,5.4,8.2,9.4,36356
391,1,XZ-45I-0391,9.8,2.2,8,2.8,1.8,26024
392,1,XX-46J-0392,9.2,1.2,2,9.6,7,26042
393,1,XY-47K-0393,1.6,6,1.8,1.8,6,17680
394,1,XZ-48L-0394,7.8,7.6,6.8,1.8,4.6,29853
395,1,XX-49M-0395,7.4,8.4,3.6,9,2.8,33568
396,1,XY-50N-0396,5.8,5.2,5.8,1.6,7.8,27874
397,1,XZ-51O-0397,1,6.6,9,9.2,6.6,35549
398,1,XX-52P-0398,3,8.2,8.2,8.4,1.2,28147
399,1,XY-53Q-0399,4.2,1,1.2,9.8,7,22991
400,1,XZ-54R-0400,6.2,1.4,4.6,9,3,21173
401,1,XX-55S-0401,4.4,1.8,5.4,7.8,1.2,20353
402,1,XY-56T-0402,9.8,8.6,2,7,8.8,37449
403,1,XZ-57U-0403,3.4,8,5,2,5.2,23324
404,1,XX-58V-0404,4.6,7.2,1.8,7,6.6,29232
405,1,XY-59W-0405,5,9.6,6.6,7.2,5,31576
406,1,XZ-60X-0406,4.4,1.2,2.6,7.2,3.6,20875
407,1,XX-61Y-0407,2.4,2.6,7.2,7.4,8,26557
